CMDLINE C:\Users\Honor\AppData\Local\Programs\Python\Python312\python.exe script.py
MEM 1.628906 1754391229.2180
MEM 17.312500 1754391229.3181
MEM 25.312500 1754391229.4185
MEM 31.832031 1754391229.5191
MEM 36.457031 1754391229.6201
MEM 43.464844 1754391229.7205
MEM 47.902344 1754391229.8215
MEM 50.859375 1754391229.9225
MEM 52.515625 1754391230.0236
MEM 55.414062 1754391230.1248
MEM 58.488281 1754391230.2251
MEM 58.988281 1754391230.3255
MEM 59.390625 1754391230.4266
MEM 63.832031 1754391230.5272
MEM 69.000000 1754391230.6282
MEM 72.093750 1754391230.7292
MEM 76.593750 1754391230.8304
MEM 79.082031 1754391230.9314
MEM 81.839844 1754391231.0317
MEM 88.457031 1754391231.1328
MEM 89.335938 1754391231.2338
MEM 89.714844 1754391231.3346
MEM 89.902344 1754391231.4356
MEM 90.019531 1754391231.5366
MEM 88.812500 1754391231.6372
MEM 88.589844 1754391231.7378
MEM 89.621094 1754391231.8380
MEM 91.289062 1754391231.9390
MEM 91.203125 1754391232.0398
MEM 91.589844 1754391232.1405
MEM 91.839844 1754391232.2416
MEM 91.507812 1754391232.3426
MEM 90.367188 1754391232.4436
MEM 91.050781 1754391232.5444
MEM 92.519531 1754391232.6447
MEM 93.027344 1754391232.7457
MEM 93.019531 1754391232.8468
MEM 93.601562 1754391232.9478
MEM 93.714844 1754391233.0484
MEM 93.410156 1754391233.1494
MEM 94.300781 1754391233.2505
MEM 94.449219 1754391233.3515
MEM 92.867188 1754391233.4525
MEM 94.675781 1754391233.5533
MEM 93.429688 1754391233.6539
MEM 94.121094 1754391233.7544
MEM 95.789062 1754391233.8548
MEM 96.296875 1754391233.9556
MEM 94.808594 1754391234.0562
MEM 94.996094 1754391234.1572
MEM 95.847656 1754391234.2582
MEM 96.582031 1754391234.3592
MEM 97.289062 1754391234.4602
MEM 95.105469 1754391234.5613
MEM 95.839844 1754391234.6623
MEM 97.582031 1754391234.7629
MEM 97.867188 1754391234.8636
MEM 98.019531 1754391234.9647
MEM 97.101562 1754391235.0652
MEM 97.433594 1754391235.1662
MEM 97.992188 1754391235.2668
MEM 99.351562 1754391235.3678
MEM 99.601562 1754391235.4689
MEM 97.750000 1754391235.5694
MEM 99.902344 1754391235.6704
MEM 100.484375 1754391235.7714
MEM 100.007812 1754391235.8721
MEM 99.214844 1754391235.9731
MEM 100.976562 1754391236.0738
MEM 101.093750 1754391236.1748
MEM 101.277344 1754391236.2752
MEM 100.308594 1754391236.3761
MEM 101.777344 1754391236.4772
MEM 101.093750 1754391236.5782
MEM 100.105469 1754391236.6792
MEM 102.464844 1754391236.7797
MEM 102.691406 1754391236.8803
MEM 103.164062 1754391236.9812
MEM 102.882812 1754391237.0821
MEM 101.812500 1754391237.1831
MEM 103.457031 1754391237.2842
MEM 103.769531 1754391237.3852
MEM 102.410156 1754391237.4863
MEM 103.609375 1754391237.5873
MEM 104.457031 1754391237.6883
MEM 104.308594 1754391237.7893
MEM 103.808594 1754391237.8899
MEM 105.339844 1754391237.9909
MEM 105.789062 1754391238.0920
MEM 104.000000 1754391238.1926
MEM 106.421875 1754391238.2936
MEM 105.578125 1754391238.3941
MEM 106.269531 1754391238.4951
MEM 105.894531 1754391238.5957
MEM 104.992188 1754391238.6967
MEM 107.277344 1754391238.7977
MEM 107.464844 1754391238.8987
MEM 106.269531 1754391238.9994
MEM 107.968750 1754391239.1004
MEM 108.328125 1754391239.2007
MEM 108.664062 1754391239.3018
MEM 108.851562 1754391239.4024
MEM 107.683594 1754391239.5034
MEM 109.351562 1754391239.6040
MEM 108.617188 1754391239.7046
MEM 108.113281 1754391239.8056
MEM 109.085938 1754391239.9066
MEM 110.292969 1754391240.0076
MEM 108.562500 1754391240.1086
MEM 110.921875 1754391240.2096
MEM 109.304688 1754391240.3109
MEM 110.632812 1754391240.4119
MEM 111.476562 1754391240.5129
MEM 111.921875 1754391240.6134
MEM 111.777344 1754391240.7140
MEM 112.164062 1754391240.8146
MEM 112.671875 1754391240.9157
MEM 110.894531 1754391241.0162
MEM 111.480469 1754391241.1172
MEM 112.226562 1754391241.2178
MEM 111.093750 1754391241.3188
MEM 111.492188 1754391241.4195
MEM 112.574219 1754391241.5197
MEM 113.777344 1754391241.6207
MEM 115.363281 1754391241.7212
MEM 116.500000 1754391241.8219
MEM 117.101562 1754391241.9232
MEM 117.730469 1754391242.0236
MEM 117.917969 1754391242.1246
MEM 118.164062 1754391242.2257
MEM 118.390625 1754391242.3267
MEM 122.445312 1754391242.4277
MEM 131.011719 1754391242.5287
MEM 130.406250 1754391242.6297
MEM 97.117188 1754391242.7307
