CMDLINE C:\Users\Honor\AppData\Local\Programs\Python\Python312\python.exe script.py
MEM 1.683594 1754391471.2019
MEM 17.863281 1754391471.3029
MEM 27.402344 1754391471.4039
MEM 33.101562 1754391471.5049
MEM 38.722656 1754391471.6059
MEM 44.175781 1754391471.7064
MEM 49.804688 1754391471.8073
MEM 56.734375 1754391471.9079
MEM 66.769531 1754391472.0085
MEM 74.914062 1754391472.1095
MEM 80.273438 1754391472.2105
MEM 83.929688 1754391472.3111
MEM 85.257812 1754391472.4121
MEM 87.640625 1754391472.5131
MEM 87.851562 1754391472.6138
MEM 90.167969 1754391472.7145
MEM 88.000000 1754391472.8153
MEM 88.062500 1754391472.9163
MEM 88.066406 1754391473.0170
MEM 88.066406 1754391473.1180
MEM 88.160156 1754391473.2190
MEM 89.480469 1754391473.3200
MEM 88.320312 1754391473.4207
MEM 88.320312 1754391473.5217
MEM 89.074219 1754391473.6224
MEM 88.382812 1754391473.7233
MEM 88.507812 1754391473.8239
MEM 88.507812 1754391473.9248
MEM 88.507812 1754391474.0254
MEM 89.261719 1754391474.1260
MEM 88.570312 1754391474.2270
MEM 88.695312 1754391474.3280
MEM 88.695312 1754391474.4290
MEM 88.757812 1754391474.5293
MEM 88.757812 1754391474.6299
MEM 89.234375 1754391474.7308
MEM 88.882812 1754391474.8318
MEM 88.882812 1754391474.9328
MEM 89.007812 1754391475.0331
MEM 89.007812 1754391475.1337
MEM 89.070312 1754391475.2348
MEM 89.070312 1754391475.3358
MEM 89.195312 1754391475.4368
MEM 89.195312 1754391475.5378
MEM 89.886719 1754391475.6385
MEM 89.257812 1754391475.7395
MEM 89.257812 1754391475.8397
MEM 89.382812 1754391475.9407
MEM 89.382812 1754391476.0412
MEM 91.812500 1754391476.1422
MEM 89.445312 1754391476.2432
MEM 89.570312 1754391476.3438
MEM 89.570312 1754391476.4448
MEM 89.570312 1754391476.5453
MEM 90.386719 1754391476.6463
MEM 89.695312 1754391476.7473
MEM 91.734375 1754391476.8479
MEM 89.757812 1754391476.9484
MEM 89.882812 1754391477.0486
MEM 89.882812 1754391477.1493
MEM 91.855469 1754391477.2500
MEM 89.945312 1754391477.3506
MEM 91.882812 1754391477.4511
MEM 90.070312 1754391477.5522
MEM 90.070312 1754391477.6531
MEM 92.054688 1754391477.7541
MEM 90.132812 1754391477.8552
MEM 90.257812 1754391477.9563
MEM 90.257812 1754391478.0569
MEM 90.457031 1754391478.1579
MEM 90.382812 1754391478.2588
MEM 90.382812 1754391478.3598
MEM 90.445312 1754391478.4609
MEM 90.445312 1754391478.5615
MEM 91.261719 1754391478.6626
MEM 90.570312 1754391478.7629
MEM 90.632812 1754391478.8636
MEM 90.632812 1754391478.9646
MEM 90.632812 1754391479.0656
MEM 91.449219 1754391479.1662
MEM 90.757812 1754391479.2673
MEM 90.820312 1754391479.3674
MEM 90.820312 1754391479.4684
MEM 90.945312 1754391479.5694
MEM 90.945312 1754391479.6705
MEM 92.828125 1754391479.7716
MEM 91.070312 1754391479.8722
MEM 91.312500 1754391479.9732
MEM 91.132812 1754391480.0739
MEM 91.132812 1754391480.1749
MEM 91.257812 1754391480.2751
MEM 91.949219 1754391480.3760
MEM 91.320312 1754391480.4770
MEM 92.273438 1754391480.5780
MEM 91.320312 1754391480.6790
MEM 91.445312 1754391480.7800
MEM 93.617188 1754391480.8808
MEM 91.507812 1754391480.9818
MEM 93.484375 1754391481.0821
MEM 91.632812 1754391481.1827
MEM 91.632812 1754391481.2836
MEM 91.632812 1754391481.3847
MEM 93.929688 1754391481.4858
MEM 91.757812 1754391481.5863
MEM 91.820312 1754391481.6869
MEM 91.820312 1754391481.7874
MEM 92.492188 1754391481.8881
MEM 91.945312 1754391481.9888
MEM 92.007812 1754391482.0895
MEM 93.785156 1754391482.1901
MEM 92.007812 1754391482.2911
MEM 92.824219 1754391482.3921
MEM 92.132812 1754391482.4932
MEM 92.191406 1754391482.5943
MEM 92.191406 1754391482.6953
MEM 92.320312 1754391482.7962
MEM 92.320312 1754391482.8967
MEM 94.492188 1754391482.9977
MEM 92.445312 1754391483.0983
MEM 94.304688 1754391483.1993
MEM 92.507812 1754391483.3003
MEM 92.507812 1754391483.4013
MEM 92.894531 1754391483.5016
MEM 92.632812 1754391483.6021
MEM 92.695312 1754391483.7034
MEM 92.695312 1754391483.8041
MEM 92.695312 1754391483.9046
MEM 95.050781 1754391484.0058
MEM 92.820312 1754391484.1068
MEM 93.144531 1754391484.2072
MEM 92.882812 1754391484.3081
MEM 93.007812 1754391484.4082
MEM 95.179688 1754391484.5093
MEM 93.132812 1754391484.6105
MEM 93.550781 1754391484.7110
MEM 93.132812 1754391484.8116
MEM 93.195312 1754391484.9122
MEM 93.886719 1754391485.0132
MEM 93.320312 1754391485.1142
MEM 93.320312 1754391485.2152
MEM 93.382812 1754391485.3159
MEM 93.382812 1754391485.4163
MEM 93.382812 1754391485.5166
MEM 94.199219 1754391485.6172
MEM 93.507812 1754391485.7180
MEM 93.570312 1754391485.8186
MEM 93.570312 1754391485.9192
MEM 93.695312 1754391486.0198
MEM 93.695312 1754391486.1208
MEM 95.472656 1754391486.2218
MEM 93.820312 1754391486.3228
MEM 93.820312 1754391486.4238
MEM 93.882812 1754391486.5248
MEM 94.574219 1754391486.6259
